Colomn 1 2 3 4 5 6 7
Node-i Node-j Branch-type(0-line, 1-transformer)  R X (B-for line,K-for transformer) (no-use)
1	2	0	0.00350	0.04110	0.69870	1
1	39	0	0.00100	0.02500	0.75000	1
2	3	0	0.00130	0.01510	0.25720	1
2	25	0	0.00700	0.00860	0.14600	1
30	2	1	0.00000	0.01810	1.02500	1
3	4	0	0.00130	0.02130	0.22140	1
3	18	0	0.00110	0.01330	0.21380	1
4	5	0	0.00080	0.01280	0.13420	1
4	14	0	0.00080	0.01290	0.13820	1
5	6	0	0.00020	0.00260	0.04340	1
5	8	0	0.00080	0.01120	0.14760	1
6	7	0	0.00060	0.00920	0.11300	1
6	11	0	0.00070	0.00820	0.13890	1
31	6	1	0.00000	0.02500	1.07000	1
7	8	0	0.00040	0.00460	0.07800	1
8	9	0	0.00230	0.03630	0.38040	1
9	39	0	0.00100	0.02500	1.20000	1
10	11	0	0.00040	0.00430	0.07290	1
10	13	0	0.00040	0.00430	0.07290	1
32	10	1	0.00000	0.02000	1.07000	1
11	12	1	0.00160	0.04350	1.00600	1
13	12	1	0.00160	0.04350	1.00600	1
13	14	0	0.00090	0.01010	0.17230	1
14	15	0	0.00180	0.02170	0.36600	1
15	16	0	0.00090	0.00940	0.17100	1
16	17	0	0.00070	0.00890	0.13420	1
16	19	0	0.00160	0.01950	0.30400	1
16	21	0	0.00080	0.01350	0.25480	1
16	24	0	0.00030	0.00590	0.06800	1
17	18	0	0.00070	0.00820	0.13190	1
17	27	0	0.00130	0.01730	0.32160	1
20	19	1	0.00070	0.01380	1.06000	1
33	19	1	0.00070	0.01420	1.07000	1
34	20	1	0.00090	0.01800	1.00900	1
21	22	0	0.00080	0.01400	0.25650	1
22	23	0	0.00060	0.00960	0.18460	1
35	22	1	0.00000	0.01430	1.02500	1
23	24	0	0.00220	0.03500	0.36100	1
36	23	1	0.00050	0.02720	1.00000	1
25	26	0	0.00320	0.03230	0.53100	1
37	25	1	0.00060	0.02320	1.02500	1
26	27	0	0.00140	0.01470	0.23960	1
26	28	0	0.00430	0.04740	0.78020	1
26	29	0	0.00570	0.06250	1.02900	1
28	29	0	0.00140	0.01510	0.24900	1
38	29	1	0.00080	0.01560	1.02500	1
